timestamp,source_ip,destination_ip,avg_bwd_segment_size,bwd_packet_length_mean,init_win_bytes_forward,fwd_iat_max,fwd_iat_total,max_packet_length,bwd_packet_length_max,bwd_packet_length_std,bwd_iat_max,init_win_bytes_backward,bwd_iat_total,prediction
2025-04-13T11:57:51.074337,192.168.31.57,129.227.206.1,,,1026,,,55,,,,,,
2025-04-13T11:57:51.087758,192.168.31.57,34.237.73.95,,,1022,,,292,,,,,,
2025-04-13T11:57:51.143132,129.227.206.1,192.168.31.57,,,83,,,66,,,,,,
2025-04-13T11:57:51.397319,34.237.73.95,192.168.31.57,,,349,,,54,,,,,,
2025-04-13T11:57:51.402316,34.237.73.95,192.168.31.57,,,349,,,314,,,,,,
2025-04-13T11:57:51.443781,192.168.31.57,34.237.73.95,,,1026,,,54,,,,,,
2025-04-13T11:57:56.716914,192.168.31.57,49.44.120.96,,,64240,,,66,,,,,,
2025-04-13T11:57:56.759256,49.44.120.96,192.168.31.57,,,64240,,,66,,,,,,
2025-04-13T11:57:56.761618,192.168.31.57,49.44.120.96,,,1026,,,54,,,,,,
2025-04-13T11:57:56.763625,192.168.31.57,49.44.120.96,,,1026,,,178,,,,,,
2025-04-13T11:57:56.783450,49.44.120.96,192.168.31.57,,,501,,,54,,,,,,
2025-04-13T11:57:56.792442,49.44.120.96,192.168.31.57,,,501,,,233,,,,,,
2025-04-13T11:57:56.798490,49.44.120.96,192.168.31.57,,,501,,,54,,,,,,
2025-04-13T11:57:56.800428,192.168.31.57,49.44.120.96,,,1025,,,54,,,,,,
2025-04-13T11:57:56.818427,192.168.31.57,49.44.120.96,,,1025,,,54,,,,,,
2025-04-13T11:57:56.828918,49.44.120.96,192.168.31.57,,,501,,,54,,,,,,
2025-04-13T11:58:07.093094,192.168.31.57,34.237.73.95,,,1026,,,292,,,,,,
2025-04-13T11:58:07.479631,34.237.73.95,192.168.31.57,,,354,,,314,,,,,,
2025-04-13T11:58:07.526958,192.168.31.57,34.237.73.95,,,1025,,,54,,,,,,
2025-04-13T11:58:13.790943,192.168.31.57,104.18.26.90,,,1022,,,55,,,,,,
2025-04-13T11:58:13.861948,104.18.26.90,192.168.31.57,,,19,,,66,,,,,,
2025-04-13T11:58:14.728583,192.168.31.57,20.189.173.23,,,1025,,,55,,,,,,
2025-04-13T11:58:15.058660,20.189.173.23,192.168.31.57,,,16386,,,66,,,,,,
2025-04-13T11:58:23.091156,192.168.31.57,34.237.73.95,,,1025,,,293,,,,,,
2025-04-13T11:58:23.462193,34.237.73.95,192.168.31.57,,,359,,,315,,,,,,
2025-04-13T11:58:23.508205,192.168.31.57,34.237.73.95,,,1024,,,54,,,,,,
2025-04-16T17:40:40.737392,192.168.1.8,224.0.0.251,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:40.741410,192.168.1.8,224.0.0.251,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:40.995210,192.168.1.8,224.0.0.251,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:41.394557,192.168.1.8,224.0.0.251,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:41.700272,192.168.1.8,224.0.0.251,0,0,0,0,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:41.703273,192.168.1.8,224.0.0.251,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:41.710796,192.168.1.8,224.0.0.251,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:42.521317,20.189.173.5,192.168.1.8,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:46.971176,192.168.1.1,192.168.1.255,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:53.578289,192.168.1.8,157.240.16.53,0,0,64240,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:53.595570,157.240.16.53,192.168.1.8,0,0,65535,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:53.597592,192.168.1.8,157.240.16.53,0,0,516,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:53.696972,192.168.1.8,157.240.16.53,0,0,516,0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:53.823608,157.240.16.53,192.168.1.8,0,0,261,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:53.827725,157.240.16.53,192.168.1.8,0,0,261,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:53.832609,157.240.16.53,192.168.1.8,0,0,261,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:53.936708,157.240.16.53,192.168.1.8,0,0,261,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:53.939532,192.168.1.8,157.240.16.53,0,0,515,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:53.966309,192.168.1.8,157.240.16.53,0,0,515,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:54.177689,192.168.1.8,157.240.16.53,0,0,515,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:54.179463,192.168.1.8,157.240.16.53,0,0,515,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:54.182022,192.168.1.8,157.240.16.53,0,0,515,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:54.188185,192.168.1.8,157.240.16.53,0,0,515,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:54.190042,192.168.1.8,157.240.16.53,0,0,515,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2025-04-16T17:40:54.192606,192.168.1.8,157.240.16.53,0,0,515,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
